,customer_id,quantity,subtotal,tax,total,order_id,created_at
0,917,2,459,59,518,1,2021-01-01 00:44:22
1,743,5,1625,211,1836,2,2021-01-01 01:52:49
2,585,3,597,77,674,3,2021-01-01 03:40:07
3,774,3,478,62,540,4,2021-01-01 04:00:57
4,662,6,1405,182,1587,5,2021-01-01 05:07:36
5,60,3,697,90,787,6,2021-01-01 05:24:10
6,855,2,498,64,562,7,2021-01-01 08:01:31
7,728,5,1725,224,1949,8,2021-01-01 08:01:40
8,268,2,498,64,562,9,2021-01-01 09:35:36
9,116,2,598,77,675,10,2021-01-01 10:45:01
10,408,2,898,116,1014,11,2021-01-01 10:47:30
11,299,2,798,103,901,12,2021-01-01 10:49:50
12,272,3,1347,175,1522,13,2021-01-01 12:41:49
13,782,3,827,107,934,14,2021-01-01 13:10:21
14,589,3,797,103,900,15,2021-01-01 13:41:34
15,736,1,699,90,789,16,2021-01-01 14:47:57
16,443,2,1098,142,1240,17,2021-01-01 15:20:00
17,500,2,659,85,744,18,2021-01-01 16:31:14
18,753,2,659,85,744,19,2021-01-01 19:07:31
19,729,3,658,85,743,20,2021-01-01 21:53:36
20,519,3,808,105,913,21,2021-01-01 23:33:34
21,165,3,1127,146,1273,22,2021-01-02 01:13:45
22,470,5,1495,194,1689,23,2021-01-02 02:16:38
23,716,3,558,72,630,24,2021-01-02 04:08:37
24,14,2,598,77,675,25,2021-01-02 05:10:36
25,447,2,459,59,518,26,2021-01-02 07:03:09
26,664,2,429,55,484,27,2021-01-02 07:03:21
27,769,3,727,94,821,28,2021-01-02 09:23:30
28,796,2,698,90,788,29,2021-01-02 11:19:43
29,454,3,558,72,630,30,2021-01-02 11:30:54
30,156,1,399,51,450,31,2021-01-02 13:34:29
31,42,3,528,68,596,32,2021-01-02 16:03:47
32,210,5,1545,200,1745,33,2021-01-02 17:39:35
33,559,2,898,116,1014,34,2021-01-02 18:00:46
34,76,2,448,58,506,35,2021-01-02 19:05:10
35,558,3,1047,136,1183,36,2021-01-02 20:29:01
36,787,3,658,85,743,37,2021-01-02 22:19:11
37,561,3,647,84,731,38,2021-01-02 23:46:13
38,949,3,747,97,844,39,2021-01-02 23:56:56
39,94,2,898,116,1014,40,2021-01-03 01:18:16
40,279,3,647,84,731,41,2021-01-03 01:48:28
41,824,5,1645,213,1858,42,2021-01-03 02:06:22
42,725,1,699,90,789,43,2021-01-03 03:02:31
43,435,2,459,59,518,44,2021-01-03 03:07:20
44,959,2,898,116,1014,45,2021-01-03 03:17:20
45,5,3,578,75,653,46,2021-01-03 05:52:48
46,70,3,428,55,483,47,2021-01-03 08:27:41
47,135,3,727,94,821,48,2021-01-03 10:07:26
48,760,1,399,51,450,49,2021-01-03 12:29:25
49,824,3,597,77,674,50,2021-01-03 14:04:33
50,624,3,647,84,731,51,2021-01-03 14:33:07
51,533,2,1098,142,1240,52,2021-01-03 16:29:45
52,254,6,1824,237,2061,53,2021-01-03 17:33:18
53,360,3,578,75,653,54,2021-01-03 19:16:51
54,330,2,648,84,732,55,2021-01-03 19:33:02
55,683,2,798,103,901,56,2021-01-03 19:40:13
56,570,2,698,90,788,57,2021-01-03 20:55:28
57,965,3,727,94,821,58,2021-01-03 21:34:19
58,335,5,1795,233,2028,59,2021-01-03 22:20:31
59,421,2,1098,142,1240,60,2021-01-03 22:49:04
60,567,3,688,89,777,61,2021-01-03 23:00:11
61,925,6,1475,191,1666,62,2021-01-04 00:33:17
62,649,3,1247,162,1409,63,2021-01-04 03:03:05
63,536,3,797,103,900,64,2021-01-04 03:50:20
64,737,3,1327,172,1499,65,2021-01-04 06:27:48
65,892,2,459,59,518,66,2021-01-04 06:41:43
66,636,2,898,116,1014,67,2021-01-04 09:24:38
67,636,2,898,116,1014,67,2021-01-04 09:24:38
68,938,5,1286,167,1453,68,2021-01-04 12:02:58
69,425,3,1047,136,1183,69,2021-01-04 11:52:06
70,15,3,827,107,934,70,2021-01-04 13:58:48
71,276,2,698,90,788,71,2021-01-04 13:00:40
72,427,3,578,75,653,72,2021-01-04 14:24:09
73,477,2,329,42,371,73,2021-01-04 14:01:24
74,598,3,797,103,900,74,2021-01-04 17:09:03
75,120,2,898,116,1014,75,2021-01-04 14:31:04
76,870,2,498,64,562,76,2021-01-04 18:55:54
77,291,3,658,85,743,77,2021-01-04 17:01:50
78,627,2,448,58,506,78,2021-01-04 19:14:53
79,970,2,898,116,1014,79,2021-01-04 18:03:58
80,259,3,1247,162,1409,80,2021-01-04 19:50:23
81,637,3,997,129,1126,81,2021-01-04 19:11:57
82,479,2,598,77,675,82,2021-01-04 22:05:53
83,955,5,1147,149,1296,83,2021-01-04 19:49:44
84,232,2,598,77,675,84,2021-01-04 23:46:55
85,833,2,459,59,518,85,2021-01-04 21:33:25
86,531,3,658,85,743,86,2021-01-04 23:49:31
87,452,3,888,115,1003,87,2021-01-04 22:56:17
88,69,3,1047,136,1183,88,2021-01-05 02:19:48
89,214,4,1726,224,1950,89,2021-01-04 23:30:35
90,634,3,727,94,821,90,2021-01-05 03:29:37
91,760,1,499,64,563,91,2021-01-05 02:04:45
92,351,3,747,97,844,92,2021-01-05 03:32:42
93,584,5,1545,200,1745,93,2021-01-05 04:50:34
94,716,3,897,116,1013,94,2021-01-05 04:37:07
95,81,2,848,110,958,95,2021-01-05 05:28:41
96,143,3,727,94,821,96,2021-01-05 05:17:23
97,912,3,558,72,630,97,2021-01-05 05:48:49
98,805,3,797,103,900,98,2021-01-05 07:19:20
99,923,3,597,77,674,99,2021-01-05 07:23:46
100,818,1,499,64,563,100,2021-01-05 08:43:13
101,116,3,847,110,957,101,2021-01-05 08:25:06
102,72,2,548,71,619,102,2021-01-05 11:28:19
103,99,2,898,116,1014,103,2021-01-05 09:53:58
104,600,3,1127,146,1273,104,2021-01-05 12:43:20
105,7,2,1098,142,1240,105,2021-01-05 12:20:15
106,417,3,1027,133,1160,106,2021-01-05 14:48:01
107,603,3,558,72,630,107,2021-01-05 14:03:42
108,163,3,1127,146,1273,108,2021-01-05 14:58:23
109,227,3,747,97,844,109,2021-01-05 14:06:18
110,474,5,1156,150,1306,110,2021-01-05 17:10:30
111,701,3,428,55,483,111,2021-01-05 16:30:31
112,162,2,698,90,788,112,2021-01-05 17:11:51
113,198,3,1047,136,1183,113,2021-01-05 17:25:50
