,id,form_id,form_parent_field_id,layout_attachment_property_brightness,layout_attachment_property_description,layout_attachment_property_focal_point_x,layout_attachment_property_focal_point_y,layout_attachment_href,layout_attachment_scale,layout_attachement_type,layout_placement,layout_type,property_allow_multiple_selection,property_allow_other_choice,property_alphabetical_order,property_button_text,property_currency,property_default_country_code,property_description,property_hide_marks,property_label_center,property_label_left,property_label_right,property_price_type,property_price_value,property_randomize,property_separator,property_shape,property_show_button,property_show_labels,property_start_at_one,property_structure,property_supersized,property_vertical_alignment,ref,title,type,validation_max_length,validation_max_selection,validation_max_value,validation_min_selection,validation_min_value,validation_required
0,ppwyUO9XeUeU,D3VWS0HU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WsFFWrct-t4ve-WJF8-qiWm-aWHIEi5lCewN,Temporary title #42,file_upload,,,,,,
1,ZXWhG3tHvujk,AmKKC6Z3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0760lKRq-vISF-QAgD-RIiT-7Nk3Rl5HcikR,Temporary title #29,long_text,,,,,,
2,VyZxTJhPq2kL,Lbzmv24K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EE9HKVoC-Rz5o-53od-QeDs-D1VBbhJJyc0m,Temporary title #51,file_upload,,,,,,
3,LpUdjoU2p6AW,1dRXXlhS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ElTuYJom-U9HX-CVft-SIu5-8f2NVCxJmGj6,Temporary title #96,statement,,,,,,
4,FS9cbL0GulfY,1dRXXlhS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rfrh23eL-vkQB-jrTA-FDM7-StWDqsEDDxeA,Temporary title #111,short_text,,,,,,
5,B6yOTMxn5GwF,sDSsGFG6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L0RHcghA-SEim-pHVO-A5yG-7hX3E7fTAG6M,Temporary title #125,opinion_scale,,,,,,
6,GxDqlqvxYHUL,Yk9MAUKe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1SFWyMM-bSuy-z84X-x5Sp-0JMDPaFlVNqX,Temporary title #57,short_text,,,,,,
7,vdn7dFGngvfJ,sB22pTs4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jqZT8hbp-4WL5-DlNf-2dAX-IWDxE93Ft0wN,Temporary title #139,dropdown,,,,,,
8,DsKnf5UviETb,czMWBewW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rU3z6tV6-QJqY-WxdM-sQSw-rneoJdlzDR42,Temporary title #9,THANKYOU_SCREEN,,,,,,
9,7xfqwD6ySuhj,OkXkhMY3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OtpImmWK-yiie-23O0-fGJP-0a1tgZTAF5N8,Temporary title #68,phone_number,,,,,,
10,qQnZWAWmlD5e,MdPnIanj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rU3z6tV6-QJqY-WxdM-sQSw-rneoJdlzDR42,Temporary title #144,multiple_choice,,,,,,
11,gY61qNkaKWFR,3JHbezZc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9PZ5RmUg-oKIy-ZM4f-nawE-ojEMv6LORe0f,Temporary title #54,picture_choice,,,,,,
