,assignee_id,rater_id,ticket_id,comment,created,reason,score,updated
0,368,939,572,Neque aliquam numquam quiquia dolor. Labore dolore amet labore sit sed non consectetur. Quisquam est tempora consectetur modi. Numquam neque quiquia quisquam. Etincidunt neque magnam eius magnam labore. Adipisci sed porro dolore aliquam voluptatem non. Etincidunt etincidunt amet voluptatem. Etincidunt quiquia etincidunt amet magnam dolor. Non voluptatem quiquia ipsum dolor etincidunt. Velit tempora non ut etincidunt neque ipsum dolorem.,2022-01-25 16:36:37,No reason provided,good,2022-02-07 04:44:42
1,62,721,14,Est modi velit consectetur. Ut quaerat modi modi. Eius ipsum quiquia quisquam consectetur non. Tempora dolorem quaerat amet. Modi amet tempora adipisci consectetur. Labore tempora velit tempora voluptatem. Sit dolorem velit numquam quisquam consectetur.,2022-06-05 14:22:26,No reason provided,good,2023-02-24 17:40:50
2,296,914,418,Tempora voluptatem dolor numquam velit. Neque porro numquam modi est dolorem. Quiquia sit sit neque consectetur eius quaerat. Numquam adipisci numquam est ipsum tempora. Non velit dolor quaerat voluptatem modi. Labore ipsum velit dolorem consectetur dolorem. Consectetur numquam quaerat non.,2022-01-11 00:08:03,No reason provided,good,2022-11-10 17:53:17
3,316,41,635,Sit amet magnam adipisci labore amet quisquam velit. Voluptatem porro etincidunt dolore magnam consectetur aliquam amet. Amet dolorem eius modi modi velit eius porro. Est etincidunt quiquia ipsum consectetur sit sit modi. Dolorem eius quaerat etincidunt dolorem est labore etincidunt. Dolor ipsum magnam eius quisquam quiquia.,2022-09-17 16:01:33,No reason provided,good,2022-12-25 12:04:57
4,209,317,667,Dolore est sit quaerat ipsum. Quisquam est amet dolorem quaerat neque est. Amet magnam quiquia non. Amet neque est eius etincidunt. Labore labore neque voluptatem porro modi etincidunt labore.,2022-01-08 22:37:46,No reason provided,good,2022-07-23 16:08:05
5,474,338,78,Quisquam porro modi adipisci est tempora tempora dolorem. Neque quisquam quisquam velit amet etincidunt numquam. Modi quiquia neque ut etincidunt dolore quaerat porro. Dolorem etincidunt eius magnam amet. Ipsum velit amet est. Quiquia quaerat etincidunt quiquia dolorem. Sit dolore ipsum magnam ipsum labore neque. Quaerat velit labore magnam eius consectetur eius adipisci. Sit aliquam est magnam porro dolore sit. Non ipsum quisquam quaerat sit numquam dolore.,2022-05-23 12:41:03,No reason provided,good,2022-07-05 14:30:40
6,506,507,954,Velit numquam numquam quiquia dolor consectetur modi ipsum. Modi modi aliquam numquam modi. Dolorem quiquia aliquam est sed voluptatem consectetur. Ut neque dolore etincidunt dolore labore etincidunt quaerat. Non amet consectetur amet neque eius ut. Est velit tempora dolore est modi aliquam labore. Quaerat non modi ipsum. Sed eius quiquia numquam eius aliquam magnam magnam. Labore dolor aliquam velit velit adipisci dolorem modi. Quiquia amet tempora ut ipsum eius amet est.,2022-07-09 00:27:59,No reason provided,good,2023-05-09 08:33:34
7,991,254,126,Etincidunt porro eius numquam non ut. Numquam est dolorem ipsum amet neque dolore. Eius eius non quisquam dolorem. Porro modi velit voluptatem consectetur. Quaerat etincidunt modi neque etincidunt est. Sit sit neque quiquia eius. Quiquia dolore porro aliquam sed quisquam. Est porro amet modi. Dolorem neque amet neque dolorem.,2022-06-30 12:48:02,No reason provided,good,2022-11-02 15:50:08
8,284,498,587,Amet est consectetur ut sed. Modi voluptatem non numquam dolore. Amet porro adipisci ut aliquam etincidunt modi. Ipsum modi consectetur modi modi adipisci aliquam. Quaerat quisquam quisquam modi magnam neque. Voluptatem neque labore sed adipisci porro etincidunt. Etincidunt labore amet tempora porro. Voluptatem etincidunt adipisci labore est etincidunt numquam amet.,2022-05-28 13:01:47,No reason provided,good,2022-12-17 15:10:17
9,204,742,507,Numquam est dolor neque. Neque dolore non dolorem. Est quisquam numquam etincidunt. Consectetur magnam labore porro. Quiquia ipsum voluptatem dolore modi ut dolorem tempora.,2022-08-26 15:14:24,Some other reason,good,2022-09-09 10:31:55
10,961,426,600,Consectetur velit sit ut non eius. Labore eius dolor sed voluptatem ut. Non voluptatem modi modi tempora ut ut. Labore numquam est consectetur. Dolorem ipsum porro sit porro. Eius ut labore velit adipisci neque. Est dolorem labore ipsum modi numquam. Modi dolor quaerat sit. Aliquam tempora numquam quisquam adipisci. Numquam quaerat etincidunt non sit non.,2022-05-19 11:38:00,No reason provided,good,2023-01-17 08:08:01
11,290,423,214,Dolorem est sed porro aliquam sed. Ipsum non neque modi aliquam. Non amet amet dolorem voluptatem ut numquam adipisci. Etincidunt sit aliquam modi voluptatem est labore. Quiquia ipsum adipisci voluptatem voluptatem etincidunt adipisci neque. Quisquam voluptatem neque aliquam non quiquia quiquia non.,2022-02-01 02:40:18,No reason provided,good,2022-02-09 20:11:06
12,282,205,604,Numquam modi adipisci quisquam. Eius dolorem non sed sit velit adipisci porro. Quisquam sed dolore dolor. Dolore velit ut etincidunt adipisci est adipisci. Sit dolorem dolore ut. Etincidunt adipisci dolor adipisci ipsum adipisci.,2022-02-04 02:14:25,No reason provided,good,2022-08-12 22:42:58
13,693,199,494,Tempora dolore tempora aliquam quaerat. Labore dolor sit consectetur. Quaerat labore velit velit amet dolor etincidunt sed. Sit eius dolor voluptatem sit modi. Dolor porro dolor dolore. Eius est labore etincidunt dolor dolor. Ut porro voluptatem magnam non neque ipsum. Dolor dolor porro labore amet adipisci tempora. Aliquam amet dolore quiquia. Ut ipsum sit adipisci est porro aliquam modi.,2022-02-09 03:28:46,No reason provided,good,2022-03-12 04:49:08
14,911,368,568,Quaerat est ut ipsum quiquia consectetur sed. Non dolor sed consectetur ut non quisquam. Est dolore est non sit est dolor modi. Dolore quiquia dolor etincidunt modi. Neque dolor modi ipsum quaerat non voluptatem quiquia. Velit eius sit amet numquam labore sed amet. Ipsum quiquia adipisci consectetur est sit. Velit tempora ipsum non sed aliquam quiquia porro.,2022-05-04 14:31:04,No reason provided,good,2023-01-12 01:10:57
15,689,281,509,Dolore aliquam aliquam adipisci tempora sed. Ut ipsum dolor quisquam consectetur adipisci eius quisquam. Est modi porro ut eius velit. Aliquam etincidunt numquam porro aliquam modi. Magnam tempora tempora aliquam. Adipisci consectetur velit quisquam. Sed ipsum quisquam neque. Sit labore quiquia ipsum sit. Quisquam labore dolor voluptatem consectetur est. Dolore sed est tempora.,2022-08-18 19:48:31,No reason provided,good,2023-04-29 18:16:00
16,419,290,86,Neque dolor eius consectetur consectetur. Sed magnam numquam velit neque sed tempora sit. Velit labore neque quisquam dolorem dolore etincidunt. Amet neque aliquam etincidunt adipisci sit voluptatem. Sed amet aliquam neque amet sit voluptatem. Dolore etincidunt velit dolorem labore quaerat.,2022-03-25 15:16:44,No reason provided,good,2022-05-04 13:30:36
17,629,463,736,Voluptatem ipsum adipisci tempora eius quaerat. Modi velit porro porro numquam aliquam sed eius. Porro sed neque aliquam eius dolore. Non quiquia amet porro. Amet modi aliquam magnam.,2022-03-30 10:48:58,No reason provided,good,2023-02-12 08:57:46
18,553,198,487,Non non non modi quaerat. Modi numquam magnam quaerat velit dolore non. Voluptatem amet est etincidunt dolor porro eius dolor. Labore ipsum labore consectetur. Est quisquam adipisci sed. Quisquam aliquam neque quiquia quisquam numquam non. Est amet amet numquam ut. Dolorem sed aliquam porro ut ipsum.,2022-04-29 01:15:59,No reason provided,good,2022-06-13 00:24:21
19,947,10,467,Aliquam ipsum quiquia non quaerat magnam neque numquam. Non velit etincidunt est. Porro sit amet porro ut magnam voluptatem neque. Est numquam dolore sit numquam dolore tempora. Adipisci neque ut quaerat tempora est aliquam. Modi ipsum ipsum aliquam. Numquam modi tempora amet velit dolor aliquam. Consectetur velit magnam ut.,2022-07-18 09:39:46,No reason provided,good,2023-03-10 16:49:21
20,703,38,604,Dolore velit est eius non magnam dolor dolorem. Numquam numquam adipisci ut magnam consectetur labore porro. Dolorem velit ipsum ut numquam voluptatem. Labore ut ipsum magnam. Etincidunt eius quiquia quaerat sed.,2022-07-08 22:46:05,No reason provided,good,2022-08-31 07:03:00
21,115,359,766,Dolore velit amet labore dolore. Sit ut sit neque velit porro dolore. Velit velit sit eius aliquam tempora. Non amet consectetur ipsum quaerat. Est est quiquia velit velit. Est velit sit eius sit. Etincidunt etincidunt numquam sed voluptatem numquam.,2022-04-24 06:22:55,No reason provided,good,2022-05-30 07:20:43
22,300,908,475,Neque labore quiquia sit. Sit porro sed dolore aliquam. Numquam sit consectetur amet. Etincidunt ut magnam porro modi velit. Neque non etincidunt eius quisquam quisquam velit eius. Velit numquam non dolore etincidunt. Aliquam ut quisquam numquam velit.,2022-03-27 18:30:12,No reason provided,good,2022-04-13 03:44:41
23,632,922,280,Porro consectetur etincidunt sit neque. Dolor ut quisquam eius. Ut dolorem aliquam non porro sed sed ipsum. Quiquia etincidunt adipisci aliquam porro voluptatem quiquia neque. Modi modi amet sed.,2022-07-15 14:17:16,No reason provided,good,2022-12-29 03:18:39
24,39,785,200,Dolorem dolor quisquam aliquam. Tempora quiquia labore amet sit amet. Eius sit est dolor voluptatem magnam ut labore. Velit porro magnam numquam aliquam adipisci quiquia. Quaerat quiquia velit velit modi velit. Quaerat quaerat voluptatem eius sed voluptatem. Consectetur quiquia magnam adipisci sed.,2022-01-15 20:39:55,No reason provided,good,2022-12-24 23:34:49
